Symbol,Name,Sector,Summary Quote
DOL,DOLLARAMA INC,Consumer Discretionary,http://finance.yahoo.com/quote/DOL.TO
POW,POWER CORPORATION OF CANADA,Financials,http://finance.yahoo.com/quote/POW.TO
SLW,SILVER WHEATON CORP,Materials,http://finance.yahoo.com/quote/SLW.TO
SJR.B,SHAW COMMUNICATIONS INC CLASS B,Consumer Discretionary,http://finance.yahoo.com/quote/SJR.B.TO
OTC,OPEN TEXT CORP,Information Technology,http://finance.yahoo.com/quote/OTC.TO
SAP,SAPUTO INC.,Consumer Staples,http://finance.yahoo.com/quote/SAP.TO
GWO,GREAT-WEST LIFECO INC.,Financials,http://finance.yahoo.com/quote/GWO.TO
CTC.A,CANADIAN TIRE LTD CLASS A,Consumer Discretionary,http://finance.yahoo.com/quote/CTC.A.TO
MRU,METRO INC,Consumer Staples,http://finance.yahoo.com/quote/MRU.TO
IPL,INTER PIPELINE LTD,Energy,http://finance.yahoo.com/quote/IPL.TO
EMA,EMERA INC,Utilities,http://finance.yahoo.com/quote/EMA.TO
SNC,SNC-LAVALIN GROUP INC.,Industrials,http://finance.yahoo.com/quote/SNC.TO
REI.UN,RIOCAN REAL ESTATE INVESTMENT UNIT,Real Estate,http://finance.yahoo.com/quote/REI.UN.TO
GIL,GILDAN ACTIVEWEAR INC.,Consumer Discretionary,http://finance.yahoo.com/quote/GIL.TO
ARX,ARC RESOURCES LTD,Energy,http://finance.yahoo.com/quote/ARX.TO
CPG,CRESCENT POINT ENERGY CORP,Energy,http://finance.yahoo.com/quote/CPG.TO
PWF,POWER FINANCIAL CORP.,Financials,http://finance.yahoo.com/quote/PWF.TO
TOU,TOURMALINE OIL CORP.,Energy,http://finance.yahoo.com/quote/TOU.TO
VII,SEVEN GENERATIONS ENERGY LTD CLASS,Energy,http://finance.yahoo.com/quote/VII.TO
ONEX,ONEX CORP,Financials,http://finance.yahoo.com/quote/ONEX.TO
CIX,CI FINANCIAL CORP.,Financials,http://finance.yahoo.com/quote/CIX.TO
KEY,KEYERA CORP.,Energy,http://finance.yahoo.com/quote/KEY.TO
VRX,VALEANT PHARMACEUTICALS INTERNATIO,Health Care,http://finance.yahoo.com/quote/VRX.TO
VET,VERMILION ENERGY INC.,Energy,http://finance.yahoo.com/quote/VET.TO
PSK,PRAIRIESKY ROYALTY LTD,Energy,http://finance.yahoo.com/quote/PSK.TO
CCL.B,CCL INDUSTRIES INC. CL B,Materials,http://finance.yahoo.com/quote/CCL.B.TO
BPY.UN,BROOKFIELD PROPERTY PARTNERS UNITS,Real Estate,http://finance.yahoo.com/quote/BPY.UN.TO
HR.UN,HANDR REAL ESTATE INVESTMENT TRUST,Real Estate,http://finance.yahoo.com/quote/HR.UN.TO
IAG,INDUSTRIAL ALLIANCE INSURANCE & FI,Financials,http://finance.yahoo.com/quote/IAG.TO
PEY,PEYTO EXPLORATION & DEVELOPMENT CO,Energy,http://finance.yahoo.com/quote/PEY.TO
RBA,RITCHIE BROS AUCTIONEERS INC,Industrials,http://finance.yahoo.com/quote/RBA.TO
ALA,ALTAGAS LTD.,Energy,http://finance.yahoo.com/quote/ALA.TO
K,KINROSS GOLD CORP,Materials,http://finance.yahoo.com/quote/K.TO
CAE,CAE INC,Industrials,http://finance.yahoo.com/quote/CAE.TO
WN,GEORGE WESTON LTD.,Consumer Staples,http://finance.yahoo.com/quote/WN.TO
CCO,CAMECO CORPORATION,Energy,http://finance.yahoo.com/quote/CCO.TO
TRQ,TURQUOISE HILL RESOURCES LTD.,Materials,http://finance.yahoo.com/quote/TRQ.TO
MX,METHANEX CORP.,Materials,http://finance.yahoo.com/quote/MX.TO
BB,BLACKBERRY LTD,Information Technology,http://finance.yahoo.com/quote/BB.TO
HSE,HUSKY ENERGY INC.,Energy,http://finance.yahoo.com/quote/HSE.TO
BEP.UN,BROOKFIELD RENEWABLE PARTNERS NON,Utilities,http://finance.yahoo.com/quote/BEP.UN.TO
FTT,FINNING INTERNATIONAL INC.,Industrials,http://finance.yahoo.com/quote/FTT.TO
LUN,LUNDIN MINING CORP.,Materials,http://finance.yahoo.com/quote/LUN.TO
EFN,ELEMENT FLEET MANAGEMENT CORP,Financials,http://finance.yahoo.com/quote/EFN.TO
CU,CANADIAN UTILITIES LTD. CL A,Utilities,http://finance.yahoo.com/quote/CU.TO
WCP,WHITECAP RESOURCES INC,Energy,http://finance.yahoo.com/quote/WCP.TO
STN,STANTEC INC.,Industrials,http://finance.yahoo.com/quote/STN.TO
CAR.UN,CANADIAN APARTMENT PROPERTIES REAL,Real Estate,http://finance.yahoo.com/quote/CAR.UN.TO
AC,AIR CANADA,Industrials,http://finance.yahoo.com/quote/AC.TO
THO,TAHOE RESOURCES INC,Materials,http://finance.yahoo.com/quote/THO.TO
VSN,VERESEN INC.,Energy,http://finance.yahoo.com/quote/VSN.TO
H,HYDRO ONE LTD,Utilities,http://finance.yahoo.com/quote/H.TO
YRI,YAMANA GOLD INC,Materials,http://finance.yahoo.com/quote/YRI.TO
BBD.B,BOMBARDIER INC CLASS B,Industrials,http://finance.yahoo.com/quote/BBD.B.TO
SRU.UN,SMART REAL ESTATE INVESTMENT TRUST,Real Estate,http://finance.yahoo.com/quote/SRU.UN.TO
WFT,WEST FRASER TIMBER CO. LTD.,Materials,http://finance.yahoo.com/quote/WFT.TO
TIH,TOROMONT INDUSTRIES LTD.,Industrials,http://finance.yahoo.com/quote/TIH.TO
ENF,ENBRIDGE INCOME FUND HOLDINGS INC.,Energy,http://finance.yahoo.com/quote/ENF.TO
PAA,PAN AMERICAN SILVER CORP.,Materials,http://finance.yahoo.com/quote/PAA.TO
REF.UN,CANADIAN REAL ESTATE INVESTMENT UN,Real Estate,http://finance.yahoo.com/quote/REF.UN.TO
ACO.X,ATCO LTD CLASS I,Utilities,http://finance.yahoo.com/quote/ACO.X.TO
CGX,CINEPLEX INC.,Consumer Discretionary,http://finance.yahoo.com/quote/CGX.TO
QBR.B,QUEBECOR INC CLASS B,Consumer Discretionary,http://finance.yahoo.com/quote/QBR.B.TO
IGM,IGM FINANCIAL INC.,Financials,http://finance.yahoo.com/quote/IGM.TO
WSP,WSP GLOBAL INC,Industrials,http://finance.yahoo.com/quote/WSP.TO
TFI,TRANSFORCE INC.,Industrials,http://finance.yahoo.com/quote/TFI.TO
EMP.A,EMPIRE LTD CLASS A,Consumer Staples,http://finance.yahoo.com/quote/EMP.A.TO
AQN,ALGONQUIN POWER & UTILITIES CORP.,Utilities,http://finance.yahoo.com/quote/AQN.TO
BTO,B2GOLD CORP.,Materials,http://finance.yahoo.com/quote/BTO.TO
DGC,DETOUR GOLD CORP,Materials,http://finance.yahoo.com/quote/DGC.TO
MBT,MANITOBA TELECOM SERVICES INC.,Telecommunications,http://finance.yahoo.com/quote/MBT.TO
AP.UN,ALLIED PROPERTIES REAL ESTATE INVE,Real Estate,http://finance.yahoo.com/quote/AP.UN.TO
CSH.UN,CHARTWELL RETIREMENT RESIDENCES RE,Health Care,http://finance.yahoo.com/quote/CSH.UN.TO
FCR,FIRST CAPITAL REALTY INC,Real Estate,http://finance.yahoo.com/quote/FCR.TO
PKI,PARKLAND FUEL CORP.,Energy,http://finance.yahoo.com/quote/PKI.TO
ERF,ENERPLUS CORP,Energy,http://finance.yahoo.com/quote/ERF.TO
MDA,MACDONALD DETTWILER & ASSOCIATES L,Industrials,http://finance.yahoo.com/quote/MDA.TO
PXT,PAREX RESOURCES INC.,Energy,http://finance.yahoo.com/quote/PXT.TO
CWB,CANADIAN WESTERN BANK,Financials,http://finance.yahoo.com/quote/CWB.TO
MFI,MAPLE LEAF FOODS INC.,Consumer Staples,http://finance.yahoo.com/quote/MFI.TO
WJA,WESTJET AIRLINES VARIABLE VOTING A,Industrials,http://finance.yahoo.com/quote/WJA.TO
NGD,NEW GOLD INC,Materials,http://finance.yahoo.com/quote/NGD.TO
GEI,GIBSON ENERGY INC.,Energy,http://finance.yahoo.com/quote/GEI.TO
ELD,ELDORADO GOLD CORPORATION,Materials,http://finance.yahoo.com/quote/ELD.TO
NPI,NORTHLAND POWER INC.,Utilities,http://finance.yahoo.com/quote/NPI.TO
CAD,CAD CASH,Cash and/or Derivatives,http://finance.yahoo.com/quote/CAD.TO
LNR,LINAMAR CORP.,Consumer Discretionary,http://finance.yahoo.com/quote/LNR.TO
DSG,DESCARTES SYSTEMS GROUP INC,Information Technology,http://finance.yahoo.com/quote/DSG.TO
OGC,OCEANAGOLD CORPORATION CORP,Materials,http://finance.yahoo.com/quote/OGC.TO
CUF.UN,COMINAR REAL ESTATE INVESTMENT TRU,Real Estate,http://finance.yahoo.com/quote/CUF.UN.TO
HBM,HUDBAY MINERALS INC,Materials,http://finance.yahoo.com/quote/HBM.TO
AGI,ALAMOS GOLD INC CLASS A,Materials,http://finance.yahoo.com/quote/AGI.TO
BCB,COTT CORPORATION,Consumer Staples,http://finance.yahoo.com/quote/BCB.TO
RRX,RAGING RIVER EXPLORATION INC,Energy,http://finance.yahoo.com/quote/RRX.TO
IMG,IAMGOLD CORPORATION,Materials,http://finance.yahoo.com/quote/IMG.TO
CLS,CELESTICA INC.,Information Technology,http://finance.yahoo.com/quote/CLS.TO
SCL,SHAWCOR LTD,Energy,http://finance.yahoo.com/quote/SCL.TO
GRT.UN,GRANITE REAL ESTATE INVESTMENT STA,Real Estate,http://finance.yahoo.com/quote/GRT.UN.TO
PD,PRECISION DRILLING CORPORATION,Energy,http://finance.yahoo.com/quote/PD.TO
AYA,AMAYA INC,Consumer Discretionary,http://finance.yahoo.com/quote/AYA.TO
MTL,MULLEN GROUP LTD.,Energy,http://finance.yahoo.com/quote/MTL.TO
BIR,BIRCHCLIFF ENERGY LTD.,Energy,http://finance.yahoo.com/quote/BIR.TO
D.UN,DREAM OFFICE REAL ESTATE UNITS TRU,Real Estate,http://finance.yahoo.com/quote/D.UN.TO
SJ,STELLA JONES INC,Materials,http://finance.yahoo.com/quote/SJ.TO
X,TMX GROUP LTD,Financials,http://finance.yahoo.com/quote/X.TO
ECI,ENERCARE INC.,Consumer Discretionary,http://finance.yahoo.com/quote/ECI.TO
CPX,CAPITAL POWER CORP,Utilities,http://finance.yahoo.com/quote/CPX.TO
NFI,NEW FLYER INDUSTRIES INC.,Industrials,http://finance.yahoo.com/quote/NFI.TO
TA,TRANSALTA CORPORATION,Utilities,http://finance.yahoo.com/quote/TA.TO
DH,DH CORP,Information Technology,http://finance.yahoo.com/quote/DH.TO
FR,FIRST MAJESTIC SILVER CORP,Materials,http://finance.yahoo.com/quote/FR.TO
AAV,ADVANTAGE OIL AND GAS LTD,Energy,http://finance.yahoo.com/quote/AAV.TO
AX.UN,ARTIS REAL ESTATE INVESTMENT TRUST,Real Estate,http://finance.yahoo.com/quote/AX.UN.TO
PBH,PREMIUM BRANDS HOLDINGS CORP.,Consumer Staples,http://finance.yahoo.com/quote/PBH.TO
FSV,FIRSTSERVICE SUBORDINATE VOTING CO,Real Estate,http://finance.yahoo.com/quote/FSV.TO
SPB,SUPERIOR PLUS CORP.,Utilities,http://finance.yahoo.com/quote/SPB.TO
HCG,HOME CAPITAL GROUP INC.,Financials,http://finance.yahoo.com/quote/HCG.TO
PVG,PRETIUM RESOURCES INC,Materials,http://finance.yahoo.com/quote/PVG.TO
LB,LAURENTIAN BANK OF CANADA,Financials,http://finance.yahoo.com/quote/LB.TO
BEI.UN,BOARDWALK REAL ESTATE INVESTMENT T,Real Estate,http://finance.yahoo.com/quote/BEI.UN.TO
RUS,RUSSEL METALS INC,Industrials,http://finance.yahoo.com/quote/RUS.TO
CEU,CANADIAN ENERGY SERVICES & TECHNOL,Energy,http://finance.yahoo.com/quote/CEU.TO
BYD.UN,BOYD GROUP INCOME FUND,Industrials,http://finance.yahoo.com/quote/BYD.UN.TO
SSO,SILVER STANDARD RESOURCES INC.,Materials,http://finance.yahoo.com/quote/SSO.TO
PJC.A,JEAN COUTU INC,Consumer Staples,http://finance.yahoo.com/quote/PJC.A.TO
CIG,COLLIERS INTERNATIONAL GROUP SUBOR,Real Estate,http://finance.yahoo.com/quote/CIG.TO
TXG,TOREX GOLD RESOURCES INC,Materials,http://finance.yahoo.com/quote/TXG.TO
WTE,WESTSHORE TERMINALS INVESTMENT COR,Industrials,http://finance.yahoo.com/quote/WTE.TO
HBC,HUDSONS BAY,Consumer Discretionary,http://finance.yahoo.com/quote/HBC.TO
KXS,KINAXIS INC,Information Technology,http://finance.yahoo.com/quote/KXS.TO
PLI,PROMETIC LIFE SCIENCES INC,Health Care,http://finance.yahoo.com/quote/PLI.TO
EFX,ENERFLEX LTD,Energy,http://finance.yahoo.com/quote/EFX.TO
CCA,COGECO COMMUNICATIONS SUBORDINATE,Consumer Discretionary,http://finance.yahoo.com/quote/CCA.TO
WPK,WINPAK LTD,Materials,http://finance.yahoo.com/quote/WPK.TO
SES,SECURE ENERGY SERVICES INC.,Energy,http://finance.yahoo.com/quote/SES.TO
OR,OSISKO GOLD ROYALTIES LTD,Materials,http://finance.yahoo.com/quote/OR.TO
GTE,GRAN TIERRA ENERGY INC,Energy,http://finance.yahoo.com/quote/GTE.TO
NSU,NEVSUN RESOURCES LTD,Materials,http://finance.yahoo.com/quote/NSU.TO
ITP,INTERTAPE POLYMER GROUP INC.,Materials,http://finance.yahoo.com/quote/ITP.TO
EDV,ENDEAVOUR MINING CORP,Materials,http://finance.yahoo.com/quote/EDV.TO
OSB,NORBORD INC,Materials,http://finance.yahoo.com/quote/OSB.TO
INE,INNERGEX RENEWABLE ENERGY INC.,Utilities,http://finance.yahoo.com/quote/INE.TO
SMF,SEMAFO INC.,Materials,http://finance.yahoo.com/quote/SMF.TO
IVN,IVANHOE MINES LTD CLASS A,Materials,http://finance.yahoo.com/quote/IVN.TO
UNS,UNI-SELECT INC.,Consumer Discretionary,http://finance.yahoo.com/quote/UNS.TO
CJR.B,CORUS ENTERTAINMENT INC CLASS B,Consumer Discretionary,http://finance.yahoo.com/quote/CJR.B.TO
MIC,GENWORTH MI CANADA INC.,Financials,http://finance.yahoo.com/quote/MIC.TO
NG,NOVAGOLD RESOURCES INC.,Materials,http://finance.yahoo.com/quote/NG.TO
MST.UN,MILESTONE APARTMENTS REAL ESTATE I,Real Estate,http://finance.yahoo.com/quote/MST.UN.TO
CHE.U,CHEMTRADE LOGISTICS INCOME FUND,Materials,http://finance.yahoo.com/quote/CHE.U.TO
RNW,TRANSALTA RENEWABLES INC,Utilities,http://finance.yahoo.com/quote/RNW.TO
PSI,PASON SYSTEMS INC.,Energy,http://finance.yahoo.com/quote/PSI.TO
NWC,NORTH WEST COMPANY INC,Consumer Staples,http://finance.yahoo.com/quote/NWC.TO
ECN,ECN CAPITAL CORP,Financials,http://finance.yahoo.com/quote/ECN.TO
AIM,AIMIA INC,Consumer Discretionary,http://finance.yahoo.com/quote/AIM.TO
TCL.A,TRANSCONTINENTAL SUB VOTING INC CL,Industrials,http://finance.yahoo.com/quote/TCL.A.TO
CRR.UN,CROMBIE REAL ESTATE INVESTMENT TRU,Real Estate,http://finance.yahoo.com/quote/CRR.UN.TO
FRU,FREEHOLD ROYALTIES LTD,Energy,http://finance.yahoo.com/quote/FRU.TO
GC,GREAT CANADIAN GAMING CORP.,Consumer Discretionary,http://finance.yahoo.com/quote/GC.TO
DRG.UN,DREAM GLOBAL REAL ESTATE INVESTMEN,Real Estate,http://finance.yahoo.com/quote/DRG.UN.TO
CG,CENTERRA GOLD INC.,Materials,http://finance.yahoo.com/quote/CG.TO
BTE,BAYTEX ENERGY CORP,Energy,http://finance.yahoo.com/quote/BTE.TO
LIF,LABRADOR IRON ORE ROYALTY CORP.,Materials,http://finance.yahoo.com/quote/LIF.TO
MAG,MAG SILVER CORP,Materials,http://finance.yahoo.com/quote/MAG.TO
AAR.UN,PURE INDUSTRIAL REAL ESTATE TRUST,Real Estate,http://finance.yahoo.com/quote/AAR.UN.TO
BAD,BADGER DAYLIGHTING LTD,Industrials,http://finance.yahoo.com/quote/BAD.TO
CFP,CANFOR CORP.,Materials,http://finance.yahoo.com/quote/CFP.TO
NVA,NUVISTA ENERGY LTD.,Energy,http://finance.yahoo.com/quote/NVA.TO
CR,CREW ENERGY INC.,Energy,http://finance.yahoo.com/quote/CR.TO
ESI,ENSIGN ENERGY SERVICES INC,Energy,http://finance.yahoo.com/quote/ESI.TO
AIF,ALTUS GROUP LTD,Real Estate,http://finance.yahoo.com/quote/AIF.TO
DDC,DOMINION DIAMOND CORP.,Materials,http://finance.yahoo.com/quote/DDC.TO
BNP,BONAVISTA ENERGY CORP,Energy,http://finance.yahoo.com/quote/BNP.TO
MSI,MORNEAU SHEPELL INC.,Industrials,http://finance.yahoo.com/quote/MSI.TO
LUC,LUCARA DIAMOND CORP,Materials,http://finance.yahoo.com/quote/LUC.TO
ZZZ,SLEEP COUNTRY CANADA HOLDINGS INC,Consumer Discretionary,http://finance.yahoo.com/quote/ZZZ.TO
MEG,MEG ENERGY CORP.,Energy,http://finance.yahoo.com/quote/MEG.TO
TCN,TRICON CAPITAL GROUP INC.,Real Estate,http://finance.yahoo.com/quote/TCN.TO
TOG,TORC OIL AND GAS LTD,Energy,http://finance.yahoo.com/quote/TOG.TO
ENGH,ENGHOUSE SYSTEMS LTD,Information Technology,http://finance.yahoo.com/quote/ENGH.TO
SPE,SPARTAN ENERGY CORP,Energy,http://finance.yahoo.com/quote/SPE.TO
DII.B,DOREL INDUSTRIES INC. CL B,Consumer Discretionary,http://finance.yahoo.com/quote/DII.B.TO
IFP,INTERFOR CORP,Materials,http://finance.yahoo.com/quote/IFP.TO
GUY,GUYANA GOLDFIELDS INC,Materials,http://finance.yahoo.com/quote/GUY.TO
KDX,KLONDEX MINES LTD,Materials,http://finance.yahoo.com/quote/KDX.TO
DHX.B,DHX MEDIA COMMON VOTING LTD,Consumer Discretionary,http://finance.yahoo.com/quote/DHX.B.TO
KEL,KELT EXPLORATION LTD,Energy,http://finance.yahoo.com/quote/KEL.TO
AKG,ASANKO GOLD INC,Materials,http://finance.yahoo.com/quote/AKG.TO
ARE,AECON GROUP INC.,Industrials,http://finance.yahoo.com/quote/ARE.TO
EXE,EXTENDICARE INC,Health Care,http://finance.yahoo.com/quote/EXE.TO
NVU.UN,NORTHVIEW APARTMENT REAL ESTATE IN,Real Estate,http://finance.yahoo.com/quote/NVU.UN.TO
MNW,MITEL NETWORKS CORP,Information Technology,http://finance.yahoo.com/quote/MNW.TO
KLG,KIRKLAND LAKE GOLD INC,Materials,http://finance.yahoo.com/quote/KLG.TO
AD,ALARIS ROYALTY CORP,Financials,http://finance.yahoo.com/quote/AD.TO
ATA,ATS AUTOMATION TOOLING SYSTEMS INC,Industrials,http://finance.yahoo.com/quote/ATA.TO
SSL,SANDSTORM GOLD LTD.,Materials,http://finance.yahoo.com/quote/SSL.TO
WEF,WESTERN FOREST PRODUCTS INC,Materials,http://finance.yahoo.com/quote/WEF.TO
DOO,BRP SUBORDINATE VOTING INC,Consumer Discretionary,http://finance.yahoo.com/quote/DOO.TO
JE,JUST ENERGY GROUP INC,Utilities,http://finance.yahoo.com/quote/JE.TO
SW,SIERRA WIRELESS INC.,Information Technology,http://finance.yahoo.com/quote/SW.TO
ASR,ALACER GOLD CORP,Materials,http://finance.yahoo.com/quote/ASR.TO
MRE,MARTINREA INTERNATIONAL INC,Consumer Discretionary,http://finance.yahoo.com/quote/MRE.TO
BNE,BONTERRA ENERGY CORP,Energy,http://finance.yahoo.com/quote/BNE.TO
BBU.UN,BROOKFIELD BUSINESS PARTNERS LIMIT,Industrials,http://finance.yahoo.com/quote/BBU.UN.TO
CMG,COMPUTER MODEL LTD,Information Technology,http://finance.yahoo.com/quote/CMG.TO
SGY,SURGE ENERGY INC.,Energy,http://finance.yahoo.com/quote/SGY.TO
IT,INTERTAIN GROUP LTD,Consumer Discretionary,http://finance.yahoo.com/quote/IT.TO
YRI.RT,YAMANA GOLD RIGHTS EXP DEC INC,Materials,http://finance.yahoo.com/quote/YRI.RT.TO
